1|2|What is an ADT?|A model of data+operations|A code library|A compiler feature|A sorting rule|0|Concept layer, not implementation.
2|3|Which operation requires pointer updates in a singly linked list?|Insertion at head|Traversal|Array indexing|Binary search|0|Pointers move.
3|3|Which pointer exists only in doubly linked lists?|prev|link|tail|jump|0|Backward reference.
4|2|Which linked list allows circular traversal?|Circular LL|SLL|DLL|Binary tree|0|Last node connects to first.
5|3|Which search works only on sorted data?|Binary search|Linear search|DFS|BFS|0|Mid-based selection.
6|3|Which search estimates position using interpolation?|Interpolation search|Binary search|Jump search|Hash lookup|0|Formula-based guess.
7|4|Which sorting algorithm is stable?|Insertion sort|Selection sort|Heap sort|Quick sort|0|Order preserved.
8|4|Which has worst-case O(n²)?|Bubble|Merge|Heap|Quick (randomized)|0|Naive comparisons.
9|5|Which sort uses partitioning?|Quick sort|Merge sort|Radix|Bucket|0|Divide around pivot.
10|5|Merge sort uses which strategy?|Divide and conquer|Greedy|DP|Backtracking|0|Recursive splitting.
11|3|Which sort is non-comparison based?|Radix|Heap|Merge|Shell|0|Digit buckets.
12|4|Which data structure uses LIFO?|Stack|Queue|Graph|Array|0|Last in, first out.
13|3|Which is used to simulate recursion?|Stack|Queue|Tree|Hash table|0|Call frames.
14|3|Backtracking algorithm explores?|All possible states|Only sorted nodes|Only BFS|Only DFS|0|State-space.
15|4|Which issue occurs in naive recursion?|Stack overflow|Heap overflow|Queue underflow|Graph cycle|0|Deep calls.
16|4|Which uses FIFO?|Queue|Stack|Tree|Hash table|0|First in, first out.
17|3|Which queue supports insertion at rear, removal at front?|Simple queue|Deque|Circular array|Priority queue|0|Basic FIFO.
18|4|Which queue gives highest-priority removal first?|Priority queue|Circular queue|Double queue|Simple queue|0|Depends on priority.
19|4|Heaps implement which ADT?|Priority queue|Deque|Stack|BST|0|Efficient priority ops.
20|4|Heap property ensures?|Parent dominates children|Children dominate parent|Sorted array|Graph acyclic|0|Min/max organization.
21|4|Heap sort complexity?|O(n log n)|O(n²)|O(log n)|O(n)|0|Heapify + n removals.
22|4|BST search best case?|O(log n)|O(1)|O(n)|O(n log n)|0|Balanced depth.
23|5|Worst case BST becomes?|Linked list|Heap|AVL|Trie|0|Skewed on sorted input.
24|4|A complete binary tree has?|Filled left to right|Perfect leaves|Unbalanced nodes|Random filling|0|Level-wise fill.
25|5|Height of perfect binary tree?|log2(n+1) - 1|n|n log n|sqrt(n)|0|Full levels.
26|5|AVL trees maintain?|Height balance|Color balance|Degree limit|Sibling order|0|Rotations fix height.
27|5|Single rotation fixes which imbalance?|LL|LR|RL|RR|0|Straight left heavy.
28|5|Double rotation fixes?|LR or RL|LL only|RR only|LL/RR both|0|Z-shaped.
29|5|2-3 trees enforce?|All leaves same depth|Binary branching|Max 4 children|Fixed key count|0|Perfect height balance.
30|5|A B-tree node can have?|Multiple keys|Only one key|Only two keys|Only leaves|0|Multiway.
31|4|Hashing converts key to?|Index|Pointer|Node|Label|0|Direct address.
32|4|Collision resolution by chaining uses?|Linked lists|Arrays only|Stacks|Recursion|0|Buckets store lists.
33|4|Linear probing issue?|Primary clustering|Secondary memory|Heap corruption|DFS failure|0|Runs form.
34|5|Quadratic probing avoids?|Primary clustering|Hashing|Search|Rehash|0|Better spread.
35|4|Rehashing occurs when?|Load factor high|Key error|Tree full|Index sorted|0|Resize table.
36|5|KMP uses?|Prefix table|Suffix array|Hash|Boyer skip|0|LPS array.
37|5|Boyer-Moore uses?|Bad-character rule|Heap|Tree|Radix buckets|0|Skip ahead.
38|5|Rabin-Karp uses?|Rolling hash|Prefix tree|Graph|Stack|0|Fast substring checks.
39|4|Graphs consist of?|Vertices + edges|Nodes only|Edges only|Heaps|0|Basic structure.
40|4|Adjacency list is efficient for?|Sparse graphs|Dense graphs|Complete graphs|Binary trees|0|Few edges.
41|4|DFS uses?|Stack|Queue|Heap|Hash|0|Implicit/explicit stack.
42|4|BFS uses?|Queue|Stack|Tree|Linked list|0|Level-order.
43|5|Topological sort applies to?|DAG|Cyclic graph|Tree|Complete graph|0|Order by dependency.
44|5|Minimum spanning tree algorithm?|Kruskal|KMP|Boyer|Hoare|0|Greedy edges.
45|5|Prim’s algorithm uses?|Priority queue|Deque|Stack|List only|0|Grow tree.
